X;Y;STRUCTYPE
83;59;POLE
83;59;TOWER
83;59;TOWER
78;47;TOWER
77;47;TOWER
77;47;POLE
78;47;TOWER
77;46;TOWER
77;47;TOWER
72;47;TOWER
72;47;TOWER
72;46;TOWER
71;47;TOWER
72;47;TOWER
71;47;TOWER
72;46;TOWER
72;47;TOWER
72;46;TOWER
72;47;TOWER
72;47;TOWER
72;47;TOWER
72;46;TOWER
72;47;TOWER
72;47;TOWER
72;46;TOWER
72;46;TOWER
72;47;TANK
72;47;TOWER
72;47;TOWER
72;47;TOWER
72;47;TOWER
71;47;TOWER
72;46;TOWER
72;46;TOWER
72;48;TOWER
72;46;TOWER
71;47;TOWER
71;48;TOWER
71;47;TOWER
72;46;TOWER
72;48;TOWER
71;48;TOWER
71;48;TOWER
71;46;TOWER
72;46;TOWER
72;47;TOWER
72;47;TOWER
70;48;TOWER
92;47;N/A
92;46;N/A
92;47;N/A
92;46;N/A
92;47;N/A
91;47;N/A
92;46;TOWER
92;47;TOWER
99;55;N/A
99;55;N/A
98;56;N/A
99;56;N/A
99;56;N/A
99;55;N/A
99;56;N/A
99;55;N/A
99;55;N/A
99;56;TOWER
62;58;TOWER
62;57;TOWER
62;58;POLE
62;57;TOWER
62;57;MAST
62;57;MAST
62;57;TOWER
62;58;B
58;52;B
88;55;TOWER
88;55;TOWER
88;55;POLE
80;55;TOWER
80;55;N/A
81;55;N/A
81;55;N/A
81;55;N/A
80;55;TOWER
81;54;N/A
81;55;N/A
81;55;TOWER
81;55;TOWER
81;54;TOWER
81;55;TOWER
82;54;TOWER
81;55;TOWER
80;55;TOWER
80;55;TOWER
81;55;TOWER
82;55;TOWER
80;46;TOWER
80;45;TOWER
80;45;TOWER
80;45;TOWER
80;45;TOWER
80;46;TOWER
80;46;TOWER
80;46;MAST
80;45;TOWER
80;46;MAST
80;45;TOWER
67;55;TOWER
56;50;TOWER
56;50;TOWER
57;50;N/A
56;50;N/A
56;50;N/A
57;50;TOWER
56;50;POLE
57;50;TOWER
57;50;TOWER
56;50;POLE
67;51;TOWER
68;52;TOWER
68;52;TOWER
68;52;TOWER
68;52;TOWER
67;52;TOWER
69;51;TOWER
69;52;TOWER
69;52;TOWER
68;51;POLE
81;47;TOWER
81;47;N/A
80;47;N/A
81;47;N/A
81;47;N/A
81;47;N/A
81;46;N/A
92;46;TOWER
92;46;TOWER
92;46;N/A
92;46;N/A
91;46;N/A
92;46;N/A
78;50;TOWER
78;50;TOWER
79;50;TOWER
79;50;TOWER
78;50;TOWER
79;50;TOWER
78;50;TOWER
78;50;TOWER
79;50;TOWER
60;61;TOWER
59;61;MAST
60;60;TOWER
59;61;MAST
60;62;MAST
59;61;MAST
60;62;MAST
59;62;TOWER
59;60;MAST
60;61;MAST
60;62;POLE
86;54;TOWER
87;54;N/A
86;54;N/A
87;53;N/A
87;54;N/A
87;54;TOWER
86;54;N/A
67;47;MAST
65;45;BANT
66;45;MAST
67;46;MAST
67;47;MAST
66;46;MAST
66;46;MAST
66;47;TOWER
66;47;MAST
66;45;TOWER
66;45;TOWER
75;48;N/A
75;47;N/A
75;48;N/A
76;47;N/A
75;47;N/A
75;48;TOWER
76;48;N/A
76;48;N/A
76;47;TOWER
75;48;TOWER
61;47;N/A
65;45;MAST
66;47;TOWER
66;45;TOWER
66;46;MAST
67;45;TOWER
67;47;TOWER
66;45;TOWER
66;46;POLE
65;45;MAST
61;55;N/A
60;54;N/A
61;55;N/A
62;55;MAST
59;55;MAST
60;55;MAST
62;55;TOWER
60;55;MAST
59;55;TOWER
70;63;TOWER
70;62;TOWER
69;62;TOWER
70;62;N/A
70;63;N/A
68;62;N/A
69;62;N/A
70;62;N/A
68;62;N/A
70;62;N/A
70;62;TOWER
69;62;TOWER
70;62;TOWER
70;62;TOWER
69;62;TOWER
70;62;TOWER
70;62;TOWER
53;54;POLE
52;53;POLE
53;53;MAST
53;53;TOWER
54;52;POLE
53;53;POLE
53;53;POLE
53;53;TOWER
52;54;POLE
54;53;POLE
53;53;MAST
75;46;TOWER
75;46;MAST
74;46;TOWER
74;46;POLE
74;46;POLE
74;46;TOWER
75;46;MAST
75;46;MAST
75;46;MAST
75;46;MAST
75;46;MAST
75;46;MAST
75;46;MAST
75;46;TANK
74;46;MAST
74;46;MAST
75;46;TOWER
55;53;MAST
56;53;TOWER
55;53;POLE
56;53;MAST
55;53;MAST
55;53;TOWER
61;53;TOWER
82;50;N/A
82;50;N/A
82;50;TOWER
82;50;N/A
82;50;N/A
82;50;N/A
82;50;TOWER
82;50;N/A
82;50;N/A
82;50;N/A
82;50;N/A
82;50;TOWER
82;50;TANK
82;50;TOWER
82;50;TOWER
81;48;N/A
80;48;N/A
81;48;N/A
81;48;N/A
80;48;TOWER
81;48;TOWER
81;48;TOWER
82;56;TOWER
82;56;TOWER
83;57;TOWER
83;56;TOWER
82;56;TOWER
82;56;TOWER
82;57;POLE
82;56;TOWER
84;55;N/A
83;55;N/A
84;55;N/A
83;55;N/A
84;55;N/A
84;55;N/A
84;55;N/A
84;55;N/A
84;55;N/A
84;55;TOWER
84;55;TOWER
84;54;TOWER
84;55;TOWER
83;55;TOWER
84;54;TOWER
84;55;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
86;44;MAST
86;44;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
85;44;TOWER
83;56;TOWER
82;56;TOWER
82;55;TOWER
82;55;TOWER
82;56;TOWER
83;55;TOWER
82;55;TOWER
83;55;TOWER
81;61;N/A
80;60;N/A
80;59;TOWER
80;60;TOWER
80;61;TOWER
81;60;TOWER
80;60;TOWER
81;59;MAST
80;61;TANK
81;60;TANK
80;59;N/A
80;60;N/A
80;59;N/A
81;60;N/A
81;60;N/A
80;59;N/A
80;60;N/A
81;59;N/A
81;59;TOWER
80;60;N/A
81;61;TOWER
81;60;N/A
81;60;N/A
80;61;N/A
81;60;N/A
80;61;N/A
81;60;N/A
81;60;N/A
81;60;N/A
81;60;N/A
80;60;N/A
80;60;N/A
80;60;N/A
81;60;N/A
80;60;N/A
80;61;POLE
81;61;MAST
81;63;N/A
80;62;TOWER
81;63;N/A
81;62;N/A
79;63;N/A
79;62;N/A
80;62;N/A
80;63;N/A
80;62;TOWER
80;62;TOWER
86;44;TOWER
86;44;TOWER
86;44;TOWER
86;44;TOWER
86;44;TOWER
86;44;TOWER
85;44;TOWER
81;47;TOWER
82;47;TOWER
82;47;TOWER
82;47;TOWER
81;47;TOWER
82;47;TOWER
82;47;TOWER
81;47;TOWER
81;47;TOWER
81;47;TOWER
86;43;TOWER
86;44;TOWER
87;43;TOWER
87;43;TOWER
87;43;TOWER
86;43;TOWER
84;46;N/A
84;46;N/A
84;45;N/A
84;46;N/A
85;45;N/A
84;46;N/A
84;46;N/A
84;45;N/A
84;45;N/A
85;45;N/A
84;46;TOWER
82;54;TOWER
82;54;TOWER
83;53;TOWER
82;54;TOWER
82;53;TOWER
82;53;TOWER
82;54;TOWER
83;54;POLE
82;54;TOWER
82;53;TOWER
84;46;N/A
85;46;N/A
84;46;N/A
85;46;N/A
84;47;N/A
85;46;N/A
85;46;N/A
85;46;N/A
85;46;N/A
85;47;TOWER
85;47;N/A
104;56;MAST
103;56;MAST
103;56;MAST
104;56;TOWER
103;56;MAST
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;N/A
81;54;N/A
82;54;N/A
81;54;N/A
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
81;54;TOWER
82;54;TOWER
82;54;TOWER
82;54;TOWER
82;55;TOWER
103;55;UPOLE
103;55;POLE
103;55;POLE
103;55;UPOLE
103;55;B
103;55;MAST
103;55;MAST
103;55;POLE
103;55;MAST
103;55;POLE
103;55;POLE
103;55;POLE
103;55;MAST
103;55;MAST
103;55;SILO
103;55;UPOLE
89;55;N/A
89;55;N/A
89;55;N/A
89;55;TOWER
89;55;N/A
89;55;N/A
89;55;POLE
89;55;N/A
89;55;N/A
89;55;N/A
89;55;N/A
89;55;N/A
89;55;MAST
